name,iso639-3,family-tree
Batak Simalungun,bts,"Austronesian,Malayo-Polynesian,Northwest Sumatra–Barrier Islands,Batak,Southern,Simalungun"
Ntcham,bud,"Niger–Congo,?,Atlantic–Congo,Gur,Northern,Oti–Volta,Gurma,Ntcham"
Bete-Bendi,btt,"Niger–Congo,?,Atlantic–Congo languages,Benue–Congo languages,Southern Bantoid languages,?,Bendi languages,Bete-Bendi"
Batak Karo,btx,"Austronesian,Malayo-Polynesian,Northwest Sumatra–Barrier Islands,Batak,Northern,Karo"
Bakairí,bkq,"Cariban,Pekodian,Bakairí"
Bugawac,buk,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,North New Guinea,?,Ngero–Vitiaz,?,Huon Gulf,North Huon Gulf,Bukawa"
Bulu (Cameroon),bum,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue–Congo,Bantoid,Southern Bantoid,Bantu,(,Zone A,),Beti,Bulu"
Bokobaru,bus,"Niger–Congo,?,Mande,Eastern,Bisa–Busa,Bissa"
Buginese,bug,"Austronesian,Malayo-Polynesian,South Sulawesi,Bugis languages,Buginese"
Bulgarian,bul,"Indo-European,Balto-Slavic,Slavic,South Slavic,Eastern South Slavic,Bulgarian"
Buli (Ghana),bwu,"Niger–Congo,?,Atlantic–Congo,Gur,Northern,Oti–Volta,Buli–Koma,Buli"
Burarra,bvr,"Arnhem,?,Maningrida,Burarra"
Bwaidoka,bwd,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,Papuan Tip,Nuclear Papuan Tip,North Papuan Mainland – D'Entrecasteaux,Bwaidoga,Bwaidoka"
Southern Bobo Madaré,bwq,"Niger–Congo,?,Mande,Western Mande,Northwestern,Soninke–Bobo,Bobo"
Bauzi,bvz,"East Geelvink Bay,Bauzi–Demisa,Bauzi"
Baruya,byr,"Trans–New Guinea,Angan,Northwest,Yipma"
Bribri,bzd,"Chibchan,Talamanca,Bribri"
Buhutu,bxh,"Austronesian,Malayo-Polynesian,Oceanic,Western,Papuan Tip,Nuclear,Suauic,Buhutu"
Qaqet,byx,"Baining,Qaqet"
Russia Buriat,bxr,"Mongolic,Central Mongolic,Buryat"
Chortí,caa,"Mayan,Cholan–Tzeltalan,Cholan,Chorti,Chʼortiʼ"
Bisu,bzi,"Sino-Tibetan,(,Tibeto-Burman,),Lolo–Burmese,Loloish,Southern,Bisoid,Phunoi–Bisu,Bisu"
Mapos Buang,bzh,"Austronesian,Malayo-Polynesian,Oceanic,Western Oceanic,North New Guinea,?,Ngero–Vitiaz,?,Huon Gulf,South Huon Gulf,Hote–Buang,Buang,Mapos"
Belize Kriol English,bzj,"English Creole,Atlantic,Western,Belizean Creole"
Chuj,cac,"Mayan,Qʼanjobalan–Chujean,Chujean,Chuj"
Southern Carrier,caf,"Dené–Yeniseian,?,Na-Dené,Athabaskan,Northern Athabaskan,Dakelh"
Garifuna,cab,"Arawakan,Northern,Ta-Arawakan languages,Kalinago language,Garifuna"
Kaqchikel,cak,"Mayan,Quichean–Mamean,Greater Quichean,Quichean,Kaqchikel"
Chácobo,cao,"Panoan,Mainline Panoan,Nawa,Bolivian,Chácobo"
Nivaclé,cag,"Matacoan,Nivaclé"
Car Nicobarese,caq,"Austroasiatic,Nicobarese,Car"
Galibi Carib,car,"Cariban,Guianan Carib,Carib,Carib-based,pidgin"
Chachi,cbi,"Barbacoan,Southern?,Cha'palaa"
Tsimané,cas,"Moseten–Chonan,?,Chimane"
Carapana,cbc,"Tucanoan,Eastern,Central,Tatuyo–Carapano,Carapano"
Cavineña,cav,"Pano–Tacanan,Tacanan,Araona–Tacana,Cavinena–Tacana,Cavineña"
Catalan,cat,"Indo-European,Italic,Romance,Western Romance,Gallo-Romance,[2],Occitano-Romance,[2],Catalan"
Chipaya,cap,"Uru–Chipaya,Chipaya"
Chiquitano,cax,"Language isolate,or,Macro-Jê"
Cashibo-Cacataibo,cbr,"Panoan,Mainline Panoan,Cashibo"
Chavacano,cbk,"Spanish-based creole,Chavacano"
Chayahuita,cbt,"Cahuapanan,Chayahuita"
Comaltepec Chinantec,cco,"Oto-Mangue,Western Oto-Mangue,Oto-Pame–Chinantecan,Chinantec,Highland Chinantec"
Cashinahua,cbs,"Panoan,Mainline Panoan,Nawa,Headwaters,Kashinawa"
Chopi,cce,"Niger–Congo,?,Atlantic–Congo,Volta-Congo,Benue–Congo,Bantoid,Southern Bantoid,Bantu,Southern Bantu,Chopi (S.60)?,Chopi"
Candoshi-Shapra,cbu,"Macro-Arawakan,?,Macro-Jivaroan,?,Candoshi-Shapra"
Chamacoco,ceg,"Zamucoan,Chamacoco"
Cebuano,ceb,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,Central Philippine,Visayan,Cebuano"
Falam Chin,cfm,"Sino-Tibetan,(,Tibeto-Burman,),Kuki-Chin,Central,Falam"
Kagayanen,cgc,"Austronesian,Malayo-Polynesian,Philippine,Greater Central Philippine,Manobo,North,Kagayanen"
Czech,ces,"Indo-European,Balto-Slavic,Slavic,West Slavic,Czech–Slovak,Czech"
Chamorro,cha,"Austronesian,Malayo-Polynesian,Chamorro"
Tabasco Chontal,chf,"Mayan,Cholan–Tzeltalan,Cholan,Chol–Chontal,Chontal Maya"
Chechen,che,"Northeast Caucasian,Nakh,Vainakh,Chechen"
Cherokee,chr,"Iroquoian,Southern Iroquoian,Cherokee"
Quiotepec Chinantec,chq,"Oto-Mangue,Western Oto-Mangue,Oto-Pame–Chinantecan,Chinantec,Highland Chinantec"
Chuukese,chk,"Austronesian,Malayo-Polynesian,Oceanic,Micronesian,Nuclear Micronesian,Chuukic–Pohnpeic,Chuukic,Chuukese"
Cacua,cbv,"Puinave-Maku,?,[2],[3],Northwestern Puinave-Maku,Nukak,-Kakwa,Cacua"
Highland Oaxaca Chontal,chd,"Hokan,?,Tequistlatecan,Highland Oaxaca Chontal"
Ashéninka Pajonal,cjo,"Arawakan,Southern,Campa,Ashéninka"
Cabécar,cjp,"Chibchan,Core-Chibchan,Isthmic,Western Isthmic,Viceitic,Cabécar"
Ozumacín Chinantec,chz,"Oto-Mangue,Western Oto-Mangue,Oto-Pame–Chinantecan,Chinantec,Ozumacín Chinantec"
Church Slavic,chu,"Indo-European,Balto-Slavic,Slavic,South Slavic,Eastern South Slavic,Old Church Slavonic"
Chuvash,chv,"Turkic,Oghur,(Lir),Chuvash"
Shor,cjs,"Turkic,Common Turkic,Siberian Turkic,South Siberian,Yenisei Turkic,Shor"
Lealao Chinantec,cle,"Oto-Mangue,Western Oto-Mangue,Oto-Pame–Chinantecan,Chinantec,Lealao Chinantec"
Chuave,cjv,"Trans–New Guinea,Chimbu–Wahgi,Chimbu,Chuave"
Chukot,ckt,"Chukotko-Kamchatkan,Chukotkan,Chukchi"
Central Kurdish,ckb,"Indo-European,Indo-Iranian,Iranian,Western,Northwestern,Kurdish,Central Kurdish"
Cerma,cme,"Niger–Congo,?,Atlantic–Congo,Gur,Southern Gur,Kirma–Tyurama,Cerma"
Anufo,cko,"Niger–Congo,?,Atlantic–Congo,Kwa,Potou–Tano,Tano,Central Tano (Akan),Bia,North,Chakosi"
Caluyanun,clu,"Austronesian,Malayo-Polynesian,Philippine,Central Philippine,Bisayan,Western Bisayan,Caluyanon"
Central Mnong,cmo,"Austroasiatic,Bahnaric,South Bahnaric,Sre–Mnong,Mnong"
Asháninka,cni,"Arawakan,Southern,Campa,Asháninka"
Mandarin Chinese,cmn,"Sino-Tibetan,Sinitic,Mandarin"
Hakha Chin,cnh,"Sino-Tibetan,(,Tibeto-Burman,),Kuki-Chin,Central,Hakha Chin"
Tepetotutla Chinantec,cnt,"Oto-Mangue,Western Oto-Mangue,Oto-Pame–Chinantecan,Chinantec,Tepetotutla Chinantec"
Koreguaje,coe,"Tucanoan,Correguaje"
Eastern Highland Chatino,cly,"Oto-Manguean,Zapotecan,Chatino,Zacatepec–Highlands,Highland Chatino"
Colorado,cof,"Barbacoan,Southern?,Tsafiki"
Ngawn Chin,cnw,"Sino-Tibetan,(,Tibeto-Burman,),Kuki-Chin,Northern Chin languages,Ngawn (Chin)"
